potID,replicate,treatment,no_poll,dl,whc,mwd,wsa_b,wdpt,log_cop_gS
106,b,µPlastic,1,8,55,1.131501767,0.5517241379,1e-16,23.8067526813986
107,c,All_in,5,6,65,1.29927957,0.5666666667,4,23.3286077288227
108,b,Copper,1,15,20,0.5781040956,0.6551724138,6,23.3898075083081
109,a,Nitrogen,1,11,40,0.6929270833,0.5,2,23.6059130726412
110,c,Nitrogen,1,6,65,1.423813406,0.5483870968,1,23.4819598940556
111,a,Salinity,1,12,35,0.6923498294,0.7,1,23.7956183424455
112,c,Salinity,1,2,85,1.033692308,0.3548387097,1e-16,23.4892465254234
113,b,Nitrogen,1,6,65,1.618784173,0.625,2,23.8424148632331
114,c,Copper,1,2,85,1.110535714,0.5294117647000001,1e-16,23.7726538580812
115,a,All_in,5,9,50,0.976875,0.6,2,23.751688320776
116,a,µPlastic,1,13,30,0.5755699659,0.4117647059,4,23.8573997766613
117,b,Nitrogen,1,11,40,0.6271921708,0.46875,1,23.7940410832485
118,b,Copper,1,10,45,0.7081609589,0.4545454545,1e-16,23.6889399910724
119,b,Ctrl,0,11,40,0.7259648438,0.5294117647000001,2,23.4851226188
120,b,µPlastic,1,3,80,0.8592175439,0.6,1e-16,23.4105403575819
121,b,µPlastic,1,5,70,1.061515517,0.46875,1,23.6093070616702
122,a,Copper,1,8,55,0.995421147,0.35294117649999995,1e-16,23.7082987997624
123,a,µPlastic,1,5,70,0.8806837456,0.5294117647000001,1e-16,23.1501956974933
124,c,Ctrl,0,13,30,0.658527972,0.4375,3,22.6861545618793
125,b,Copper,1,11,40,0.6306701031,0.6875,3,23.8542560222487
126,b,Surfactant,1,12,35,0.6428881119,0.46875,2,23.6571021748352
127,c,µPlastic,1,14,25,0.5871797945,0.42424242419999997,5,23.5976045098935
128,b,Surfactant,1,2,85,0.9995660377,0.3235294118,1,23.5250661734926
129,b,Surfactant,1,6,65,1.391108696,0.724137931,1e-16,23.3755997251733
130,c,Copper,1,6,65,1.120442238,0.45161290319999997,1e-16,23.7243478479128
131,b,Copper,1,9,50,0.8355214286,0.46666666669999995,1e-16,23.4747739196335
132,c,µPlastic,1,8,55,1.204365497,0.53125,1,23.3773204755432
133,c,Salinity,1,12,35,0.6791708185,0.5,5,23.5667109844006
134,a,Copper,1,11,40,0.6455195035,0.59375,1e-16,23.7725882152915
135,b,Ctrl,0,7,60,0.8240894309,0.46875,1e-16,23.7534415849696
136,b,Nitrogen,1,1,90,0.8728959108,0.5833333333,1,23.1921208122451
137,b,Salinity,1,10,45,0.7282152778,0.53125,1e-16,23.6799667420673
138,a,All_in,5,12,35,0.6010904437,0.4,2,23.2112238781109
139,a,Salinity,1,15,20,0.5826086207,0.4848484848,5,23.9192240967132
140,b,Ctrl,0,12,35,0.6010423077,0.42424242419999997,3,23.4865408546974
141,c,All_in,5,13,30,0.6442288136,0.53125,4,23.8525913788473
142,b,µPlastic,1,1,90,0.7601405109,0.3870967742,2,23.3612434049001
143,b,Nitrogen,1,12,35,0.6352037671,0.48,4,23.8828752298589
144,b,Surfactant,1,14,25,0.6125140351,0.5,4,23.631620015845
145,a,Nitrogen,1,6,65,1.508876344,0.4848484848,1,23.609253118194
146,a,Surfactant,1,3,80,1.042676786,0.4857142857,1e-16,23.4235125577726
147,c,µPlastic,1,2,85,0.7311487455,0.5357142857,1e-16,23.5986852074678
148,c,Copper,1,11,40,0.6513362676,0.44117647060000004,3,23.3649802305694
149,b,Copper,1,6,65,1.394327586,0.6451612903,1e-16,23.5595146144822
150,b,µPlastic,1,7,60,0.9500232143,0.5483870968,2,23.4707913340042
151,c,µPlastic,1,15,20,0.5680459184,0.6666666667,6,23.5034465075338
152,a,Ctrl,0,7,60,0.8303162393,0.4838709677,1e-16,23.5497289208374
153,c,Salinity,1,6,65,1.086632979,0.46875,1e-16,23.5783285407272
154,b,Nitrogen,1,5,70,1.20787963,0.6571428571,1,23.2641832956443
155,c,Ctrl,0,7,60,0.8810787402,0.4482758621,1e-16,23.5697641039478
156,c,Surfactant,1,8,55,1.206209507,0.53125,1,23.3883326113365
157,a,Ctrl,0,9,50,0.660875969,0.3870967742,1,23.5837864842873
158,a,Nitrogen,1,15,20,0.4956128472,0.35294117649999995,6,23.5197797594513
159,a,Surfactant,1,11,40,0.7237890071,0.5517241379,2,23.5304126267159
160,c,Salinity,1,13,30,0.5941849315,0.46666666669999995,4,23.5229347881805
161,a,Nitrogen,1,14,25,0.561346831,0.35294117649999995,2,23.4691267119059
162,c,All_in,5,8,55,1.201774476,0.5428571429,2,23.6412782006613
